카테고리,상품명,가격,상품,상세,열량(kcal),탄수화물(g),당류(g),단백질(g),지방(g),포화지방(g),트랜스지방(mg),콜레스테롤(mg),나트륨(mg),칼슘(g),,,,,,,,,
박스과자,롯데 빼빼로 크런키 39g,1360,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/롯데 빼빼로 크런키 39g_상품.png,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/롯데 빼빼로 크런키 39g_상세.png,215,26,13,3,11,6,0,5,140,0,,,,,,,,,
박스과자,롯데 빼빼로 누드 초코 50g,1200,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/롯데 빼빼로 누드 초코 50g_상품.png,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/롯데 빼빼로 누드 초코 50g_상세.png,255,33,17,4,12,8,0.5,5,210,0,,,,,,,,,
박스과자,롯데 빼빼로 아몬드 37g,1360,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/롯데 빼빼로 아몬드 37g_상품.png,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/롯데 빼빼로 아몬드 37g_상세.png,210,22,11,4,12,4.9,0.5,5,120,0,,,,,,,,,
박스과자,롯데 제로 카카오 케이크 171g 12개입,3840,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/롯데 제로 카카오 케이크 171g 12개입_상품.png,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/롯데 제로 카카오 케이크 171g 12개입_상세.png,455,48,0,9,29,13,0,25,350,0,,,,,,,,,
박스과자,롯데 명가찰떡파이 오리지날 210g 6개입,2700,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/롯데 명가찰떡파이 오리지날 210g 6개입_상품.png,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/롯데 명가찰떡파이 오리지날 210g 6개입_상세.png,145,24,11,1,3.5,2.5,0.5,5,105,0,,,,,,,,,
박스과자,롯데 몽쉘 생크림 오리지널 192g 6개입,2250,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/롯데 몽쉘 생크림 오리지널 192g 6개입_상품.png,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/롯데 몽쉘 생크림 오리지널 192g 6개입_상세.png,170,15,8,2.2,11,7,0.5,15,70,0,,,,,,,,,
박스과자,롯데 초코파이 UP 420g 12개입,3360,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/롯데 초코파이 UP 420g 12개입_상품.png,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/롯데 초코파이 UP 420g 12개입_상세.png,150,23,13,1,6,3.9,0,0,75,0,,,,,,,,,
박스과자,롯데 몽쉘 생크림 오리지널 384g 12개입,4500,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/롯데 몽쉘 생크림 오리지널 384g 12개입_상품.png,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/롯데 몽쉘 생크림 오리지널 384g 12개입_상세.png,170,15,8,2.2,11,7,0.5,15,70,0,,,,,,,,,
스낵/봉지과자,롯데 꼬깔콘 매콤달콤 67g,1200,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/롯데 꼬깔콘 매콤달콤 67g_상품.png,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/롯데 꼬깔콘 매콤달콤 67g_상세.png,175,17,2.1,1.5,11,3.5,0.2,0,250,0,,,,,,,,,
스낵/봉지과자,롯데 꼬깔콘 고소한맛 67g,1200,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/롯데 꼬깔콘 고소한맛 67g_상품.png,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/롯데 꼬깔콘 고소한맛 67g_상세.png,175,17,1.5,1.5,11,3.5,0,0,135,0,,,,,,,,,
스낵/봉지과자,롯데 뻥소리 230g,2520,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/롯데 뻥소리 230g_상품.png,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/롯데 뻥소리 230g_상세.png,435,84,28,6,8,4.6,0,0,130,0,,,,,,,,,
스낵/봉지과자,롯데 쌀로새 진짜새우 65g,1200,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/롯데 쌀로새 진짜새우 65g_상품.png,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/롯데 쌀로새 진짜새우 65g_상세.png,155,20,1,1.8,7.2,3,0,2,300,0,,,,,,,,,
스낵/봉지과자,롯데 치토스 매콤달콤 82g,1140,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/롯데 치토스 매콤달콤 82g_상품.png,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/롯데 치토스 매콤달콤 82g_상세.png,475,50,2.1,5.5,28,13,0.5,0,380,0,,,,,,,,,
스낵/봉지과자,롯데 오잉 75g,1140,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/롯데 오잉 75g_상품.png,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/롯데 오잉 75g_상세.png,380,52,5,3.4,18,8,0,0,510,0,,,,,,,,,
스낵/봉지과자,롯데 쌀로별 오리지널 78g,1140,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/롯데 쌀로별 오리지널 78g_상품.png,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/롯데 쌀로별 오리지널 78g_상세.png,440,50,7,4,25,9,0,0,450,0,,,,,,,,,
스낵/봉지과자,롯데 도리토스 치즈 84g,1140,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/롯데 도리토스 치즈 84g_상품.png,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/롯데 도리토스 치즈 84g_상세.png,145,16,1.4,2.2,7.4,2.3,0.5,0,180,0,,,,,,,,,
스낵/봉지과자,롯데 도리토스 갈비천왕치킨맛 84g,1140,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/롯데 도리토스 갈비천왕치킨맛 84g_상품.png,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/롯데 도리토스 갈비천왕치킨맛 84g_상세.png,155,19,1.3,2,8,2.3,0,0,190,0,,,,,,,,,
스낵/봉지과자,롯데 오잉 515g,2100,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/롯데 오잉 515g_상품.png,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/롯데 오잉 515g_상세.png,505,69,7,4.5,23,11,0,0,690,0,,,,,,,,,
시리얼/바,퀘이커 마시는오트밀 봄딸기 50g 10개입,18800,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/퀘이커 마시는오트밀 봄딸기 50g 10개입_상품.png,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/퀘이커 마시는오트밀 봄딸기 50g 10개입_상세.png,215,30,17,7,7.1,3,0,5,190,0,,,,,,,,,
시리얼/바,퀘이커 마시는 오트밀 찰옥수수 50g 10개입,18800,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/퀘이커 마시는 오트밀 찰옥수수 50g 10개입_상품.png,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/퀘이커 마시는 오트밀 찰옥수수 50g 10개입_상세.png,200,27,18,7,7,3,0,5,250,0,,,,,,,,,
시리얼/바,퀘이커 마시는오트밀 그레인 50g 10개입,18800,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/퀘이커 마시는오트밀 그레인 50g 10개입_상품.png,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/퀘이커 마시는오트밀 그레인 50g 10개입_상세.png,222,29,14,9,8,2.1,0,5,160,0,,,,,,,,,
시리얼/바,퀘이커 마시는오트밀 우리쌀 50g 10개입,18800,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/퀘이커 마시는오트밀 우리쌀 50g 10개입_상품.png,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/퀘이커 마시는오트밀 우리쌀 50g 10개입_상세.png,205,34,15,7,6,2.1,0,5,160,0,,,,,,,,,
껌/자일리톨,롯데 자일리톨 용기 87g,3750,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/롯데 자일리톨 용기 87g_상품.png,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/롯데 자일리톨 용기 87g_상세.jpeg,3,1,0,0,0,0,0,0,0,0,,,,,,,,,
캔디/사탕/젤리,롯데 제로 후르츠젤리 미니벌크 238g,5600,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/롯데 제로 후르츠젤리 미니벌크 238g_상품.png,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/롯데 제로 후르츠젤리 미니벌크 238g_상세.jpeg,510,10,0,0.9,0,0,0,0,5,0,,,,,,,,,
캔디/사탕/젤리,롯데 제로 후르츠 젤리 52g,1200,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/롯데 제로 후르츠 젤리 52g_상품.png,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/롯데 제로 후르츠 젤리 52g_상세.jpeg,125,40,0,3.4,0,0,0,0,20,0,,,,,,,,,
캔디/사탕/젤리,롯데 말랑카우 밀크 158g,3750,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/롯데 말랑카우 밀크 158g_상품.png,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/롯데 말랑카우 밀크 158g_상세.jpeg,675,113,89,7,21,19,0.2,25,570,0,,,,,,,,,
캔디/사탕/젤리,롯데 말랑카우 딸기 158g,3750,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/롯데 말랑카우 딸기 158g_상품.png,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/롯데 말랑카우 딸기 158g_상세.jpeg,690,118,89,7,21,17,0.5g 미만,25,185,0,,,,,,,,,
캔디/사탕/젤리,롯데 젤리셔스 청포도 젤리 72g,960,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/롯데 젤리셔스 청포도 젤리 72g_상품.png,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/롯데 젤리셔스 청포도 젤리 72g_상세.jpeg,245,57,43,5,0,0,0,0,10,0,,,,,,,,,
캔디/사탕/젤리,롯데 젤리셔스 포도먹은 구미 60g,960,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/롯데 젤리셔스 포도먹은 구미 60g_상품.png,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/롯데 젤리셔스 포도먹은 구미 60g_상세.jpeg,185,43,32,3.4,0.3,0.3,0,0,15,0,,,,,,,,,
캔디/사탕/젤리,롯데 목캔디 믹스베리케이스 38g,700,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/롯데 목캔디 믹스베리케이스 38g_상품.png,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/롯데 목캔디 믹스베리케이스 38g_상세.jpeg,150,37,29,0,0,0,0,0,15,0,,,,,,,,,
캔디/사탕/젤리,롯데 못캔디 허브케이스 38g,700,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/롯데 못캔디 허브케이스 38g_상품.png,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/롯데 못캔디 허브케이스 38g_상세.jpeg,150,37,29,0,0,0,0,0,0,0,,,,,,,,,
